id,key,stat,p,group,population,name,z
1393,452916,0.008965556382903368,0.29,HH,1978,010730129141,155.3384719555673
1405,452928,0.5597351390024369,0.13,HH,1210,010730144063,212.63911290388006
1409,452932,0.02804374642279003,0.45,HH,1430,011239625012,112.56613468550742
1411,452934,0.8290287815984753,0.12,HH,2541,010730142032,217.49867920660904
1413,452936,0.17167335433282083,0.35,HH,1533,010730038021,138.5320466407568
1414,452937,0.371261177141047,0.22,HH,546,010730107052,177.21932141886847
1421,452944,0.16447505202470863,0.16,HH,1037,010730126024,199.4457883209753
1422,452945,0.05730630760897842,0.46,HH,1442,010030115022,110.04337205114699
1423,452946,0.02985464556691638,0.38,HH,1153,010730122001,130.54807880993974
1424,452947,0.6226426346643977,0.14,HH,5254,010510307012,208.0319340814956
1425,452948,0.29505269903323145,0.1,HH,970,010510311001,228.15515655446004
1427,452950,0.4668156847342866,0.07,HH,2008,010730112082,247.579102817917
1429,452952,1.0655776966651684,0.02,HH,700,010730111044,305.37489106318225
1431,452954,0.012269239411663139,0.46,HH,2592,010730124012,110.04337205114699
1432,452955,1.0691587826673767,0.07,HH,1156,010730128023,247.579102817917
1433,452956,0.9180430120654581,0.3,HH,728,010730111045,152.44005127080408
1435,452958,0.008035392107424265,0.37,HH,1959,010830202022,133.18533464368167
1440,452963,0.11547208035139903,0.16,HH,1927,010730112051,199.4457883209753
1441,452964,0.0017673239945368933,0.43,HH,665,010730051033,117.63741647808615
1444,452967,3.604123556194148,0.02,HH,1480,010730128032,305.37489106318225
1445,452968,0.4051676601278856,0.34,HH,810,010730110015,141.24631294414047
1446,452969,0.4922055247304638,0.13,HH,568,010730110022,212.63911290388006
1450,452973,1.1876869484282793,0.01,HH,569,010730128033,332.6347874040841
1453,452976,0.011950714707734343,0.42,HH,1382,010730111043,120.1893479141851
1457,452980,2.1993300553687503,0.01,HH,2003,010730129072,332.6347874040841
1458,452981,0.0014759113780678222,0.39,HH,3273,010730112101,127.93190344474542
1461,452984,1.2943077006291286,0.01,HH,1905,010730129083,332.6347874040841
1473,452996,1.045375286702247,0.08,HH,921,011250107032,240.5071560309633
1474,452997,0.12539834550882842,0.29,HH,1028,011250102032,155.3384719555673
1475,452998,0.3668650254150103,0.23,HH,3284,011250102022,173.88468491852137
1476,452999,0.1630584842675054,0.2,HH,2129,011250123052,184.16212335729142
1490,453013,0.018671683677895613,0.46,HH,1058,010730117042,110.04337205114699
1495,453018,0.5657757648791778,0.01,HH,2645,010730144091,332.6347874040841
1497,453020,1.9653762804842954,0.04,HH,835,010730129081,275.0686071252169
1512,453035,0.00576985708731657,0.29,HH,8407,010030107031,155.3384719555673
1517,453040,0.4400503411498555,0.05,HH,3276,010030107042,264.4853626951472
1531,453054,0.3944868870953437,0.08,HH,2212,010030107053,240.5071560309633
1563,453086,0.016833455963495832,0.17,HH,1986,010970030001,195.41652531461943
1572,453095,0.012985890937834447,0.43,HH,1953,010090501013,117.63741647808615
1577,453100,0.685059989697293,0.12,HH,2000,010970037042,217.49867920660904
1578,453101,1.1254801920678976,0.02,HH,6183,011130309021,305.37489106318225
1579,453102,0.003767323190372458,0.24,HH,944,011130312002,170.63025628400874
1582,453105,0.010053039120312787,0.42,HH,1661,011130312003,120.1893479141851
1590,453113,0.0759736484076906,0.29,HH,1257,011130303001,155.3384719555673
1596,453119,0.014101618603871694,0.48,HH,2152,010970071012,105.01535834647336
1607,453130,0.1937753755185622,0.1,HH,3820,010970068011,228.15515655446004
1609,453132,0.011103357890502543,0.18,HH,4251,010970069012,191.53650878428144
1617,453140,0.07101861462517521,0.4,HH,1521,010970031001,125.33471031357998
1618,453141,0.061937749427880974,0.26,HH,1565,010970032021,164.3345405392917
